id,text
1553004577632518145,"@F1 @alo_oficial 🎶🎶Cumpleaños Feliz, Cumpleaños Feliz, te deseo Cumpleaños Feliz 🎶🎶 🎉🎉Feliz cumpleaños Nano🎉🎉... 💋💋.."
1553004370823888900,"@F1 @alo_oficial Happy birthday, Nando 🤝🍻"
1553002271587311618,@F1 @alo_oficial Felicidades chato
1552999777738133506,"@F1 @alo_oficial Bon anniversaire Fernando, n ´oublie que c est le jour de mon anniversaire aussi le 29 juillet  !!!😄 😙😙😙"
1552997092599152640,@F1 @alo_oficial Happy Birthday :D
1552994568769085440,@F1 @alo_oficial Messing up the dates. It was 2012 where he won in valencia. They didn't race there in 2013.
1552993935613886464,@F1 @alo_oficial Happy Birthday Fernando we hope your day is very special. 🎈 🥳🎂 #SydneyAust
1552989858041315330,@F1 @alo_oficial Happy Birthday @alo_oficial !!
1552988371529748482,@F1 @alo_oficial Felicidades campeón!
1552986622979108864,@F1 @alo_oficial Happy Birthday🍾
1552985261461893120,@F1 @alo_oficial Happy birthday ferrrrrrrrrrrrnando 🔥💜🥳💜🧡💜💙💜🔥🥳🥳🥳🥳🥳💜🔥💜🔥💜🥳❤️🔥💜🔥🧡
1552984271954092033,@F1 @alo_oficial happy birthday 🎈 🎉@alo_oficial
1552982302606721027,@F1 @alo_oficial Happy birthday heroes Alonso 💖
