id,text
1552997092599152640,@F1 @alo_oficial Happy Birthday :D
1552994568769085440,@F1 @alo_oficial Messing up the dates. It was 2012 where he won in valencia. They didn't race there in 2013.
1552993935613886464,@F1 @alo_oficial Happy Birthday Fernando we hope your day is very special. 🎈 🥳🎂 #SydneyAust
1552989858041315330,@F1 @alo_oficial Happy Birthday @alo_oficial !!
1552988371529748482,@F1 @alo_oficial Felicidades campeón!
1552986622979108864,@F1 @alo_oficial Happy Birthday🍾
1552985261461893120,@F1 @alo_oficial Happy birthday ferrrrrrrrrrrrnando 🔥💜🥳💜🧡💜💙💜🔥🥳🥳🥳🥳🥳💜🔥💜🔥💜🥳❤️🔥💜🔥🧡
1552984271954092033,@F1 @alo_oficial happy birthday 🎈 🎉@alo_oficial
1552982302606721027,@F1 @alo_oficial Happy birthday heroes Alonso 💖
1552977754085330947,@F1 @alo_oficial Happy Birthday Champ💙💛❤️ @alo_oficial #fernando #F1 https://t.co/j5Ykt9wtVb
1552976592330260481,@F1 @alo_oficial My birthday is today like Fernando 😍
1552976416446226433,@F1 @alo_oficial The reason I got back into F1 after the death of the great Ayrton Senna. Its been a privilege foll… https://t.co/8uFjdWs6b8
