team_name;nicknames
ferrari;ferrari, scuderia, prancing, ferari, ferarri, ferraris, ferarris, feraris
red bull;bulls, bull
mercedes;mercedes, merc, mercs, arrows
mclaren;mcl, mclarens, mclaren
aston martin;aston, martin
alpine;alpine, alpines, renault
haas;haas
alpha tauri;tauris, tauri
alfa romeo;romeo, sauber
williams;williams
