code,first_name,last_name
LEC,charles,leclerc
SAI,carlos,sainz
VER,max,verstappen
PER,sergio,perez
HAM,lewis,hamilton
RUS,george,russell
NOR,lando,norris
RIC,daniel,ricciardo
SCH,mick,schumacher
MAG,kevin,magnussen
ALO,fernando,alonso
OCO,eseteban,ocon
VET,sebastian,vettel
STR,lance,stroll
GAS,pierre,gasly
TSU,yuki,tsunoda
BOT,valtteri,bottas
ZHO,guanyu,zhou
LAT,nicholas,latifi
ALB,alex,albon
